heure,temperature,pression,humidite
08:00:00,24.28,1015.08,70.9
08:10:00,24.49,1015.13,71.77
08:20:00,24.0,1014.87,73.85
08:30:00,24.58,1014.71,75.23
08:40:00,25.22,1015.02,70.04
08:50:00,25.63,1014.78,69.92
09:00:00,25.51,1015.56,72.88
09:10:00,25.93,1015.61,76.07
09:20:00,27.92,1015.1,60.51
09:30:00,26.43,1015.44,63.34
09:40:00,26.26,1015.78,71.29
09:50:00,28.16,1013.78,60.29
10:00:00,27.22,1015.38,67.06
10:10:00,26.93,1014.46,61.85
10:20:00,27.28,1013.68,59.46
10:30:00,28.35,1014.63,61.67
10:40:00,28.51,1014.32,63.73
10:50:00,27.33,1014.46,63.54
11:00:00,28.59,1015.13,63.9
11:10:00,29.5,1014.09,52.26
11:20:00,29.47,1014.77,53.96
11:30:00,29.47,1014.23,56.46
11:40:00,28.63,1014.24,64.04
11:50:00,29.36,1015.93,55.17
12:00:00,29.71,1014.01,49.94
12:10:00,30.25,1014.92,48.78
12:20:00,30.35,1014.04,49.59
12:30:00,30.81,1014.14,47.96
12:40:00,30.48,1014.73,45.52
12:50:00,30.84,1014.55,45.66
13:00:00,31.39,1014.31,44.3
13:10:00,30.88,1014.73,46.7
13:20:00,29.22,1014.82,55.72
13:30:00,31.73,1013.76,32.42
13:40:00,30.39,1014.38,55.81
13:50:00,30.72,1012.78,47.41
14:00:00,30.71,1013.01,44.65
14:10:00,31.27,1013.61,39.1
14:20:00,30.11,1013.29,52.79
14:30:00,31.75,1014.19,32.54
14:40:00,30.61,1013.41,50.22
14:50:00,30.7,1012.39,39.01
15:00:00,30.57,1013.18,49.58
15:10:00,31.46,1012.25,44.29
15:20:00,30.46,1011.19,43.92
15:30:00,29.95,1012.81,49.26
15:40:00,28.94,1012.52,54.46
15:50:00,30.17,1011.84,48.05
16:00:00,29.05,1013.43,54.68
16:10:00,30.37,1012.0,46.51
16:20:00,29.43,1012.85,55.28
16:30:00,29.45,1012.34,55.9
16:40:00,30.83,1012.08,44.78
16:50:00,30.01,1012.46,51.35
17:00:00,28.48,1012.54,65.81
17:10:00,28.18,1010.78,58.4
17:20:00,27.37,1011.81,64.6
17:30:00,27.73,1012.0,58.09
17:40:00,27.32,1011.56,64.95
17:50:00,28.58,1012.0,62.48
18:00:00,28.49,1010.66,54.6
18:10:00,26.71,1011.09,64.2
18:20:00,28.28,1011.47,55.92
18:30:00,27.47,1010.48,64.8
18:40:00,26.48,1010.32,66.66
18:50:00,24.81,1011.46,80.31
19:00:00,26.48,1010.89,59.23
19:10:00,25.51,1010.89,73.64
19:20:00,24.14,1011.43,72.96
19:30:00,25.3,1010.55,66.07
19:40:00,24.82,1010.15,68.21
19:50:00,24.52,1008.73,64.62
20:00:00,23.54,1010.77,69.83
20:10:00,24.44,1009.48,68.31
20:20:00,23.09,1009.12,71.72
20:30:00,22.77,1010.04,68.4
20:40:00,23.8,1009.67,69.35
20:50:00,21.69,1011.51,71.32
21:00:00,23.08,1010.29,71.83
21:10:00,21.58,1009.68,62.97
21:20:00,22.79,1008.39,68.82
21:30:00,20.75,1007.54,56.99
21:40:00,20.74,1009.45,62.82
21:50:00,20.53,1008.8,64.62
22:00:00,19.86,1009.02,55.58
22:10:00,19.73,1008.7,59.46
22:20:00,18.81,1008.34,59.87
22:30:00,19.14,1008.0,62.44
22:40:00,18.94,1008.39,57.47
22:50:00,19.69,1007.72,56.79
23:00:00,19.61,1009.43,66.78
23:10:00,19.52,1007.1,60.46
23:20:00,19.33,1008.39,56.45
23:30:00,17.7,1007.35,48.52
23:40:00,18.43,1008.08,50.49
23:50:00,18.29,1007.79,48.49
